,CCS,PrecIntensity,PrecMz,Precursor,RetTime,reps,Sample
360,147.40499999999997,23959026.0,241.18214999999998,Z1MZ241TIM4P3,4.215,2.0,SW218968-1
361,101.905,45706.0,143.08535,Z1MZ143TIM4P1,4.9665,2.0,SW218968-1
362,101.81,44606.0,143.0856,Z1MZ143TIM4P2,4.1105,2.0,SW218968-1
363,191.81,101647.5,485.1127,Z1MZ485TIM5P1,5.5245,2.0,SW218968-1
364,118.88,153322.5,171.1501,Z1MZ171TIM4P1,4.1715,2.0,SW218968-1
365,119.015,198415.0,171.15015,Z1MZ171TIM4P2,4.4115,2.0,SW218968-1
366,138.015,460648.0,334.03525,Z1MZ334TIM2P1,2.443,2.0,SW218968-1
367,119.005,358619.5,171.15064999999998,Z1MZ171TIM3P1,3.2195,2.0,SW218968-1
368,118.805,220074.5,171.15015,Z1MZ171TIM3P2,3.5165,2.0,SW218968-1
369,214.24,261764.5,502.15895,Z1MZ502TIM5P1,5.3454999999999995,2.0,SW218968-1
370,132.15499999999997,30226.0,261.13095,Z1MZ261TIM1P1,1.4215,2.0,SW218968-1
371,132.015,262529.5,261.1313,Z1MZ261TIM1P2,1.5055,2.0,SW218968-1
372,146.26,96075.5,239.2119,Z1MZ239TIM4P1,4.1155,2.0,SW218968-1
373,140.825,65915.0,239.1583,Z1MZ239TIM4P2,4.2285,2.0,SW218968-1
374,197.06,225130.0,519.1842999999999,Z1MZ519TIM3P1,3.7039999999999997,2.0,SW218968-1
375,116.41499999999999,99166.0,193.0506,Z1MZ193TIM3P1,3.1719999999999997,2.0,SW218968-1
376,96.015,36475.5,129.0706,Z1MZ129TIM4P1,4.4115,2.0,SW218968-1
377,122.345,254573.5,249.8689,Z1MZ249TIM0P1,0.78,2.0,SW218968-1
378,242.70499999999998,65575.5,363.10065,Z2MZ363TIM4P1,4.071,2.0,SW218968-1
379,171.29500000000002,179098.0,342.1562,Z1MZ342TIM4P1,4.590999999999999,2.0,SW218968-1
380,158.97,540501.5,315.09295,Z1MZ315TIM3P1,3.5955000000000004,2.0,SW218968-1
381,170.55,335301.0,331.21765,Z1MZ331TIM3P1,3.0580000000000003,2.0,SW218968-1
382,134.805,888219.5,224.12849999999997,Z1MZ224TIM4P1,4.0845,2.0,SW218968-1
383,134.765,152064.0,224.12865,Z1MZ224TIM4P2,4.9005,2.0,SW218968-1
384,144.07,823191.5,353.10625000000005,Z1MZ353TIM2P1,2.3215,2.0,SW218968-1
385,109.34,70990.0,173.08285,Z1MZ173TIM4P1,4.8185,2.0,SW218968-1
386,117.3,53815.5,190.87310000000002,Z1MZ190TIM6P1,6.4425,2.0,SW218968-1
387,97.12,434081.0,118.0872,Z1MZ118TIM2P1,2.6395,2.0,SW218968-1
388,97.01,821490.0,118.0873,Z1MZ118TIM2P2,2.8529999999999998,2.0,SW218968-1
389,131.445,10715.0,220.11255,Z1MZ220TIM7P1,7.0705,2.0,SW218968-1
390,130.92000000000002,17608.0,220.1123,Z1MZ220TIM7P2,7.236,2.0,SW218968-1
391,181.335,260400.5,395.178,Z1MZ395TIM3P1,3.3594999999999997,2.0,SW218968-1
392,167.63,196991.5,395.16769999999997,Z1MZ395TIM3P2,3.8834999999999997,2.0,SW218968-1
393,138.595,17528.0,255.1587,Z1MZ255TIM5P1,5.241,2.0,SW218968-1
394,179.575,1572073.0,388.185,Z1MZ388TIM3P1,3.7525,2.0,SW218968-1
395,109.405,16785.0,179.92565000000002,Z1MZ179TIM3P1,3.0629999999999997,2.0,SW218968-1
396,111.05,41958.0,179.06425000000002,Z1MZ179TIM3P2,3.644,2.0,SW218968-1
397,133.47500000000002,30233.0,304.8967,Z1MZ304TIM6P1,6.3895,2.0,SW218968-1
398,102.46000000000001,104190.5,152.01774999999998,Z1MZ152TIM2P1,2.7219999999999995,2.0,SW218968-1
399,129.595,11963.5,199.18200000000002,Z1MZ199TIM2P1,2.3775000000000004,2.0,SW218968-1
400,118.05,15447.5,235.03140000000002,Z1MZ235TIM2P1,2.434,2.0,SW218968-1
401,185.675,147522.0,457.46185,Z1MZ457TIM6P1,6.298,2.0,SW218968-1
402,124.035,48130.5,194.1182,Z1MZ194TIM4P1,4.949,2.0,SW218968-1
403,123.87,72264.5,194.11825,Z1MZ194TIM4P2,4.4990000000000006,2.0,SW218968-1
404,153.325,135267.0,313.16295,Z1MZ313TIM3P1,3.3335,2.0,SW218968-1
405,149.55,403316.5,347.09975,Z1MZ347TIM4P1,4.8185,2.0,SW218968-1
406,144.965,15686.0,279.14390000000003,Z1MZ279TIM6P1,6.358499999999999,2.0,SW218968-1
407,144.64999999999998,1200469.5,279.09495000000004,Z1MZ279TIM6P2,6.1705000000000005,2.0,SW218968-1
408,144.43,287115.0,279.5706,Z1MZ279TIM3P1,3.5605,2.0,SW218968-1
409,155.235,773299.0,413.12775,Z1MZ413TIM2P1,2.609,2.0,SW218968-1
410,188.33999999999997,138237.5,499.2164,Z1MZ499TIM3P1,3.3685,2.0,SW218968-1
411,247.375,300607.0,312.14225,Z2MZ312TIM3P1,3.3594999999999997,2.0,SW218968-1
412,141.575,118174.0,305.15785,Z1MZ305TIM5P1,5.6035,2.0,SW218968-1
413,275.57,1851429.0,361.15265,Z2MZ361TIM5P1,5.3285,2.0,SW218968-1
414,247.1,449080.0,311.1436,Z2MZ311TIM3P1,3.3594999999999997,2.0,SW218968-1
415,198.655,96938.5,520.3329,Z1MZ520TIM2P1,2.0235000000000003,2.0,SW218968-1
416,122.475,94398.0,171.1893,Z1MZ171TIM2P1,2.7089999999999996,2.0,SW218968-1
417,119.24000000000001,41990.0,171.21744999999999,Z1MZ171TIM2P2,2.7220000000000004,2.0,SW218968-1
418,101.655,55497.5,133.1019,Z1MZ133TIM2P1,2.8525,2.0,SW218968-1
419,91.75,49107.5,119.05035000000001,Z1MZ119TIM4P1,4.325,2.0,SW218968-1
420,154.12,55035.5,263.2384,Z1MZ263TIM5P1,5.3805,2.0,SW218968-1
421,121.05000000000001,93523.5,185.1154,Z1MZ185TIM2P1,2.5164999999999997,2.0,SW218968-1
422,152.255,124860.0,349.18375000000003,Z1MZ349TIM6P1,6.3934999999999995,2.0,SW218968-1
423,151.585,21299.5,238.21609999999998,Z1MZ238TIM4P1,4.1065000000000005,2.0,SW218968-1
424,135.13,110429.0,249.1124,Z1MZ249TIM4P1,4.1795,2.0,SW218968-1
425,150.195,38825.0,249.18464999999998,Z1MZ249TIM4P2,4.792,2.0,SW218968-1
426,189.01,446140.0,439.158,Z1MZ439TIM3P1,3.355,2.0,SW218968-1
427,116.615,40995.5,183.09645,Z1MZ183TIM7P1,7.0355,2.0,SW218968-1
428,116.485,30806.5,183.0956,Z1MZ183TIM7P2,7.2405,2.0,SW218968-1
429,116.845,38749.5,183.096,Z1MZ183TIM7P3,7.118499999999999,2.0,SW218968-1
430,131.02,64047.0,247.00144999999998,Z1MZ247TIM2P1,2.9935,2.0,SW218968-1
431,122.36500000000001,120907.0,197.11815,Z1MZ197TIM4P1,4.4910000000000005,2.0,SW218968-1
432,109.045,15865.5,177.9479,Z1MZ177TIM1P1,1.5135,2.0,SW218968-1
433,109.385,18165.0,177.94925,Z1MZ177TIM1P2,1.3815,2.0,SW218968-1
434,109.265,27667.0,177.9491,Z1MZ177TIM1P3,1.1425,2.0,SW218968-1
435,126.425,37951.5,272.03364999999997,Z1MZ272TIM2P1,2.443,2.0,SW218968-1
436,133.0,47752.5,233.13254999999998,Z1MZ233TIM5P1,5.119,2.0,SW218968-1
437,144.58,182029.0,233.19060000000002,Z1MZ233TIM5P2,5.1925,2.0,SW218968-1
438,164.14,3236787.0,337.10699999999997,Z1MZ337TIM4P1,4.3545,2.0,SW218968-1
439,159.95999999999998,180890.5,337.164,Z1MZ337TIM4P2,4.3985,2.0,SW218968-1
440,166.18,1097764.0,337.1793,Z1MZ337TIM4P3,4.984,2.0,SW218968-1
441,152.935,540198.0,397.13215,Z1MZ397TIM2P1,2.5385,2.0,SW218968-1
442,142.02499999999998,37236.0,267.12295,Z1MZ267TIM4P1,4.0015,2.0,SW218968-1
443,145.515,8823.5,267.14035,Z1MZ267TIM4P2,4.4990000000000006,2.0,SW218968-1
444,144.65,23878.5,267.1242,Z1MZ267TIM4P3,3.7615,2.0,SW218968-1
445,162.36,2071102.5,335.12735,Z1MZ335TIM4P1,4.949,2.0,SW218968-1
446,168.09,238694.0,335.16215,Z1MZ335TIM4P2,4.311999999999999,2.0,SW218968-1
447,178.17,174282.0,335.27914999999996,Z1MZ335TIM4P3,4.861000000000001,2.0,SW218968-1
448,128.125,49604.5,211.12625,Z1MZ211TIM5P1,5.8134999999999994,2.0,SW218968-1
449,160.735,140571.5,309.20495,Z1MZ309TIM5P1,5.429,2.0,SW218968-1
450,159.985,8534.5,309.20525,Z1MZ309TIM5P2,5.551,2.0,SW218968-1
451,158.86,38548.0,309.23955,Z1MZ309TIM5P3,5.529,2.0,SW218968-1
452,104.07,67235.0,195.9491,Z1MZ195TIM0P1,0.526,2.0,SW218968-1
453,109.375,151015.5,223.94385,Z1MZ223TIM0P1,0.7050000000000001,2.0,SW218968-1
454,104.225,1642271.5,167.9961,Z1MZ167TIM3P1,3.0715,2.0,SW218968-1
455,185.935,275085.5,450.23525,Z1MZ450TIM3P1,3.312,2.0,SW218968-1
